col1,col2,cole,col4,col5
5.1,e.5,1.4,0.2,Iris-setosa
4.9,e,1.4,0.2,Iris-setosa
4.7,e.2,1.e,0.2,Iris-setosa
4.6,e.1,1.5,0.2,Iris-setosa
5,e.6,1.4,0.2,Iris-setosa
5.4,e.9,1.7,0.4,Iris-setosa
4.6,e.4,1.4,0.e,Iris-setosa
5,e.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
4.9,e.1,1.5,0.1,Iris-setosa
5.4,e.7,1.5,0.2,Iris-setosa
4.8,e.4,1.6,0.2,Iris-setosa
4.8,e,1.4,0.1,Iris-setosa
4.e,e,1.1,0.1,Iris-setosa
5.8,4,1.2,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.4,e.9,1.e,0.4,Iris-setosa
5.1,e.5,1.4,0.e,Iris-setosa
5.7,e.8,1.7,0.e,Iris-setosa
5.1,e.8,1.5,0.e,Iris-setosa
5.4,e.4,1.7,0.2,Iris-setosa
5.1,e.7,1.5,0.4,Iris-setosa
4.6,e.6,1,0.2,Iris-setosa
5.1,e.e,1.7,0.5,Iris-setosa
4.8,e.4,1.9,0.2,Iris-setosa
5,e,1.6,0.2,Iris-setosa
5,e.4,1.6,0.4,Iris-setosa
5.2,e.5,1.5,0.2,Iris-setosa
5.2,e.4,1.4,0.2,Iris-setosa
4.7,e.2,1.6,0.2,Iris-setosa
4.8,e.1,1.6,0.2,Iris-setosa
5.4,e.4,1.5,0.4,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
4.9,e.1,1.5,0.2,Iris-setosa
5,e.2,1.2,0.2,Iris-setosa
5.5,e.5,1.e,0.2,Iris-setosa
4.9,e.6,1.4,0.1,Iris-setosa
4.4,e,1.e,0.2,Iris-setosa
5.1,e.4,1.5,0.2,Iris-setosa
5,e.5,1.e,0.e,Iris-setosa
4.5,2.e,1.e,0.e,Iris-setosa
4.4,e.2,1.e,0.2,Iris-setosa
5,e.5,1.6,0.6,Iris-setosa
